1SF09.00	सञ्‍चार प्रविधि र बजार
2SF05.03	विभिन्‍न प्रकारका बिरुवाहरू
2SF08.02	राष्‍ट्रिय चिह्‍नहरू
2SF09.00	सञ्‍चार प्रविधि र बजार
2SF09.01	सूचना र सञ्‍चार
3SF01.04	नाप्‍ने उपकरण
3SF08.02	हाम्रो राष्‍ट्रिय चिह्‍न
3SF09.00	सञ्‍चार प्रविधि र बजार
3SF09.01	सूचना र सञ्‍चार
7H01.03	पोषण
7H01.06	लागुपदार्थ, धूमपान र मद्
7H01.07	वातावरणीय स्वास्थ्य
7H01.08	सुरक्षा तथा प्राथमिक उपचार
7H01.09	पारिवारिक र सामुदायिक स्वास्थ्य
7H02.06	एथ्
8H01.06	लागु पदार्थ, धूमपान र मद्
8H01.07	वातावरणीय स्वास्थ्य
8H01.08	सुरक्षा तथा प्राथमिक उपचार
8H01.09	पारिवारिक र सामुदायिक स्वास्थ्य
8H02.06	एथलेटिक्स
9H01	स्वास्थ्य जनसङ्
9H03	जनसङ्
9H04	नेपालको जन साङ्
9H07	वातावरणीय स्वास्थ्य
9H10	प्राथमिक स्वास्थ्य हेरचाह र जोखिमप्रति सावधानी तथा सुरक्षा
6V01.00	पेसागत शिक्षा
6V01.04	शिक्षणसँग सम्बन्धित पेसा
6V01.05	कृषिसँग सम्बन्धित पेसा
6V01.06	व्यापारसँग सम्बन्धित पेसा
6V01.07	निर्माण व्यवसायसँग सम्बन्धित पेसा
6V01.08	सार्वजनिक सेवाहरूसँग सम्बन्धित पेसाहरू
6V01.09	सिलाइ, कटाइ र बुनाइ
6V02.00	रोजगारी, तालिम तथा शिक्षा 
6V02.05	नेपाल उद्
6V02.07	घरेलु तथा साना उद्
6V03.00	रोजगारी सम्बन्धी सूचना
6V03.01	स्थानीय रोजगारी सम्बन्धी सूचना प्राप्तिका स्रोतहरू
6V04.00	सामान्य व्यावसायिक सिप
6V04.04	समूहमा कार्य गर्ने सिप
6V05.00	व्यवसाय
6V05.02	नेपालका कृषि तथा गैरकृषिमा आधारित परम्परागत व्यवसायहरूको परिचय
6V06.00	व्यापार र बजार व्यवस्थापन
6V06.02	व्यापारको किसिम तथा पहुँच
6V06.03	विक्रेता सिप
6V06.04	हाट बजार
6V07.00	तरकारी खेती
6V08.00	फलफूल खेती
6V08.01	स्
6V09.00	सुख्खा तरकारी, फलफूल तथा खाद्य सामग्री
6V10.00	फूल तथा जडीबुटी खेती
6V10.01	फुल खेतीको परिचय
6V10.02	जडीबूटीको परिचय र महत्त्व
6V11.00	पशुपक्षीको स्याहार र हेरचाह
6V11.01	(क) भेडा/ बाख्रा/च्याङ्
6V11.02	(ख) गाई/भैँसी पालन
6V11.03	(ग) कुखूरा/हाँस पालन
6V11.04	(घ) बङ्
6V11.05	(ङ) माछा पालन
6V12.00	शिल्पकला
6V12.02	ओरिगामी र किरिगामी प्रविधिबाट सामग्री निर्माण
6V12.03	बेतबाँस, पराल, छ्वाली, बाबियो आदिबाट सामग्री निर्माण
6V12.04	खेर गएका वस्
6V13.00	माटोको काम
6V13.01	माटोबाट सामान बनाउने काय
6V14.00	सिलाइ बुनाइ
6V14.01	सिलाइ बुनाइ
6V14.02	फेब्रिक पेन्टिङ
6V15.00	स्थानीय प्रविधि
6V15.02	स्थानीय स्तरमा प्रयोगमा आउने सामान्य उपकरणहरू
6V16.00	आधुनिक प्रविधि
6V16.01	आधुनिक प्रविधिको परिचय र महत्त्व
6V16.02	सूचना प्रविधिको परिचय र महत्त्व
6V16.03	सूचना स्रोतका रूपमा कम्प्
7V01.00	पेसागत शिक्षा
7V01.02	पेसाको वर्गीकरण
7V01.05	चिकित्सा क्षेत्रसँग सम्बन्धित पेसा र जनशक्ति
7V01.06	इन्जिनियरिङ क्षेत्रसँग सम्बन्धित पेसा र जनशक्ति
7V01.07	कृषि तथा वन क्षेत्रसँग सम्बन्धित पेसा र जनशक्ति
7V01.08	 वित्तीय क्षेत्रसँग सम्बन्धित पेसा र जनशक्ति
7V01.09	पर्यटन क्षेत्रसँग सम्बन्धित पेसा र जनशक्ति
7V01.10	शिक्षण सेवा क्षेत्रसँग सम्बन्धित पेसा र जनशक्ति
7V01.11	सार्वजनिक सेवा क्षेत्रसँग सम्बन्धित पेसा र जनशक्ति
7V02.00	रोजगारी, तालिम तथा शिक्षा
7V02.01	क्षेत्रीय तथा राष्ट्रिय रोजगारीको परिचय र महत्त्व
7V02.02	साधारण तथा व्यावसायिक तालिमको प्रकार
7V03.00	रोजगारसम्बन्धी सूचना
7V03.01	क्षेत्रीय तथा राष्ट्रियस्तरका रोजगारका सूचना प्राप्तिका स्रोतहरू
7V04.00	सामान्य व्यावसायिक सिप
7V05.00	व्यवसायको किसिम
7V05.01	साना, मझौला तथा ठुला व्यवसाय
7V05.02	व्यवसाय सञ्चालनका आधारभूत तत्त्व
7V05.04	व्यवसायको छनोट, व्यवस्थापन र सञ्चालन
7V06.00	व्यापार र बजार व्यवस्थापन
7V06.03	व्यापारिक सिपमा आधुनिकीकरण
7V06.05	वस्
7V07.00	तरकारी खेती
7V07.03	गँड्यौला खेती
7V07.04	कम्पोस्
7V07.05	थोपा सिँचाइको परिचय र प्रयोग
7V07.06	करेसाबारीमा मौसमअनुसार खेती र हेरचाह
7V07.07	हानिकारक रोग र किराबाट संरक्षण
7V08.00	फलफूल खेती
7V08.03	फल टिप्ने समय र तरिका
7V08.04	फलफूलको संरक्षण गर्ने तरिका
7V08.05	फलफूल टिप्
7V08.06	फलफूलको भन्डारण गर्ने स्थानीय प्रविधि
7V08.07	प्याकेजिङ तथा ढुवानी गर्ने तरिका
7V08.08	फलफूलमा लाग्ने रोग तथ किरा पहिचान र परम्परागत रोकथाम
7V09.00	सुक्खा तरकारी, फलफूल तथा खाद्य सामग्री
7V09.01	सुक्खा तरकारीको उत्पादन, प्रशोधन र भन्डारण
7V09.02	फलफूलको चाना वा सुकुटी उत्पादन, प्रशोधन र भन्डारण
7V09.04	अचार, चुक, तोफु, छुर्पी, जुस उत्पादन, प्रशोधन र सुरक्षित भन्डारण
7V09.05	बेसार, सूठो, मस्यौरा र तितौराको उत्पादन, प्रशोधन तथा सुरक्षित भन्डारण
7V10.00	फूल तथा जडीबुटी खेती
7V10.02	जडीबुटी खेती
7V11.00	पशुपक्षीको स्याहार र हेरचाह
7V11.01	भेडा, बाख्रा तथा च्याङ्
7V11.02	गाई र भैँसी पालन
7V11.03	कुखुरा र हाँस पालन
7V11.04	बङ्
7V11.05	माछा पालन
7V12.00	शिल्पकला
7V12.01	कागजबाट विभिन्न वस्तुहरूको निर्माण
7V12.03	बासँ, पराल, छ्वाली तथा बाबियोबाट सामग्री निर्माण
7V12.04	खेर गएका वस्तूहरूबाट सामग्री निर्माण
7V12.05	काठ र ढुङ्
7V12.06	निर्मित वस्तु रङ्
7V13.00	माटोको काम
7V13.01	माटोबाट विभिन्न ज्यामितीय आकार निर्माण
7V13.02	माटोबाट फलफूल, तरकारी, जनावर तथा घरायसी सामान निर्माण
7V14.00	सिलाइ तथा बुनाइ
7V14.01	सजावटी सिलाइ टाँका
7V14.03	हाते बुनाइ
7V14.04	फेब्रिक पेन्टिङ
7V15.00	स्थानीय प्रविधि
7V15.01	परम्परागत तथा आधुनिक प्रविधिको अन्तरसम्बन्ध
7V15.02	दैनिक प्रयोगका उपकरणहरूको सुरक्षित प्रयोग
7V16.00	आधुनिक प्रविधि
7V16.02	घरायसी प्रयोगका आधुनिक उपकरण
7V16.04	रेडियो, एफएम तथा टेलिभिजनको प्रसारण प्रक्रिया
7V16.05	सञ्चारका साधनका रूपमा कम्प्यूटर
4SS01.01	मेरा टोल छमेकीहरू
4SS02.01	हाम्रा मान्यजनहरू
4SS02.04	जन्मस्थानको महत्त्व
4SS03.00	एकाइः तीन  सामाजिक समस्या र समाधान
4SS03.03	सामाजिक कुरीतिहरू
4SS03.05	सामाजिक कुरीति हटाउने उपायहरू
4SS03.06	सेवा प्रदान गर्ने संस्थाहरू
4SS04.06	ट्राफिक नियम
4SS07.03	मितव्ययी हुने बानी
4SS08.01	आफ्ना सोचहरू चित्रबाट देखाऔँ
4SS08.03	रूख, जनावर र चराहरू कोरौँ
4SS08.12	थरीथरीका वस्तुहरूको उपयोग गरौँ
4SS08.16	पुराना वस्तुहरूबाट नयाँ वस्तुको निर्माण गरौँ
4SS09.05	झ्याउरे (पश्चिमेली)
4SS09.09	झ्याउरे तालमा नृत्य गरौँ
5SS01.02	छिमेकीहरूसँगको व्यवहार
5SS01.05	अरूलाई पनि बुझौँ
5SS02.00	एकाइः दुई  हाम्रो परम्परा, सामाजिक मूल्य र मान्यता
5SS02.02	हाम्रो भाषा र वेषभूषा
5SS02.03	हाम्रा चाडपर्वहरू
5SS03.06	हाम्रा स्थानीय निकायहरूको भूमिका
5SS04.02	हाम्रा कर्तव्यहरू
5SS04.04	हाम्रा सामाजिक नियमहरू
5SS04.06	जिल्ला विकास समितिका कार्यहरू
5SS04.07	समान व्यवहार र आपसी मलेमिलाप
5SS05.01	नेपालको प्राकृतिक स्वरूप
5SS05.03	नेपालको प्राकृतिक वनस्पति
5SS05.06	नक्सामा सङ्केतहरू भरौँ
5SS05.07	ग्लोब र नक्साको प्रयोग
5SS05.08	हाम्रा छिमेकी देश बङ्गलादेश, पाकिस्तानर र भुटान
5SS06.01	हाम्रा समुदायका ऐतिहासिक वस्तुहरू
5SS06.02	हाम्रा समुदायका ऐतिहासिक व्यत्तित्वहरू
5SS06.03	प्राचीन नेपाल
5SS06.04	हाम्रा राष्ट्रिय विभूतिहरूः जनक, सीता, बुद्ध, अरनिको, शङ्खधर र अंशुवर्मा
5SS06.05	हाम्रा राष्ट्रिय विभूतिहरूः पृथ्वीनारायण, बलभद्र र अमर सिंह
5SS06.06	हाम्रा राष्ट्रिय विभूतिहरूःपासाङ्ल्हामु, भीमसेन, भानुभक्त, मोतिराम, राम शाह र त्रिभुवन
5SS07.02	विद्यालयका सामानहरू
5SS07.04	स्वेदेशी सामानहरूको प्रयोग
5SS08.01	मनमा लागेका कुराहरूको चित्र बनाऔँ
5SS08.02	रूख बिरुवा र वातावरणको चित्र कोरौँ
5SS08.03	विभिन्न जनावरहरूको चित्र बनाऔँ
5SS08.12	विभिन्न किसिमका कोलाजहरू
5SS08.14	माटोबाट विभिन्न वस्तुहरू बनाऔँ
5SS08.20	कागजको थोँगा बनाऔँ
5SS08.21	खेर फालिने सामानहरूको प्रयोग गरौँ
5SS08.28	फ्रेममा बुनाइ कार्य गरौँ
5SS09.01	स्वरको अभ्यास गरौँ
5SS09.13	अभिनय गरौँ
7SS01.03	सामाजिकीकरण
7SS01.04	सामाजिकीकरणका माध्यम
7SS02.04	राष्ट्रको सम्मान र राष्ट्रियताको जगेर्ना
7SS02.05	हाम्रो रीतिरिवाजका केही प्रमुख पक्ष
7SS02.07	नेपालको प्रथम वैज्ञानिक गेहेन्द्रसमसेर
7SS03.02	सामाजिक समस्या र विकृतिका कारण
7SS03.05	सामाजिक समस्या समाधानमा विद्
7SS04.01	राज्यका आधारभूत तत्त्व : भूमि र जनसङ्
7SS04.02	राज्यका आधारभूत तत्त्व : सरकार, सार्वभौमसत्ता र संविधान
7SS04.03	मौलिक हक र कर्तव्य
7SS04.05	बाल अधिकार संरक्षणका प्रयास
7SS05.06	युरोप महादेशको भौतिक, आर्थिक र सामाजिक जनजीवन
7SS05.07	अस्ट्रेलिया महादेशको भौतिक, आर्थिक र सामाजिक जनजीवन
7SS05.08	जलवायु परिवर्तन
7SS05.09	जलवायु परिवर्तनको प्रभाव
7SS05.11	विपत्
7SS06.05	मध्यकालीन नेपालको कला र संस्कृति
7SS06.07	मेसोपोटामियाको सभ्यता
7SS08.00	हाम्रो अन्तर्राष्ट्रिय सम्बन्ध र सहयोग
7SS08.02	सार्कमा नेपालको भूमिका
7SS08.03	भूपरिवेष्टित देशको परिचय
7SS09.01	जनसङ्
7SS09.02	जनसङ्
7SS09.05	जनसङ्
7SS09.07	नेपालको जनसङ्
7SS09.08	नेपालको जनसङ्
7SS09.09	भौगालिक क्षेत्रअनुसार नेपालको जनसङ्
7SS10.02	तीव्र जनसङ्
7SS10.03	जनसङ्
7SS10.05	गूणस्तरीय जीवनका उपाय
7SS10.07	जनसङ्
8SS01.00	हामी, हाम्रो समुदाय र राष्‍ट्र
8SS01.02	सङ्‍घीय राज्य र प्रदेश
8SS02.03	सामाजिक सद्‌भाव
8SS02.05	राष्‍ट्रिय सम्पदा
8SS02.06	अन्तर्राष्‍ट्रिय व्यक्तित्व
8SS03.02	भ्रष्
8SS03.07	अन्तर्राष्‍ट्रिय सङ्‌ग संस्थाहरू
8SS05.06	नेपालका जिल्ला र अञ्‍चल
8SS07.01	पर्यटन उद्‌योग
8SS07.04	बैङ्
8SS08.00	हाम्रो अन्तर्राष्‍ट्रिय सम्बन्ध र सहयोग
8SS08.01	हाम्रा मित्र राष्‍ट्रहरू
8SS08.02	संयूक्त राष्‍ट्र सङ्‌घ र यसका अङ्‌गहरू
8SS08.03	संयूक्त राष्‍ट्र सङ्‌घ र नेपाल
8SS08.05	अन्तर्राष्‍ट्रिय क्षेत्रमा नेपालको योगदान
8SS09.01	जनसाङ्‌ख्यिकीको अवधारणा
8SS09.02	जनसाङ्‌ख्यिक आधारभुत मापन
8SS09.04	जनसङ्‌ख्या परिवर्तनका निर्धारकहरू
8SS09.05	नेपालको जनसङ्‌ख्या बनोद
8SS09.06	नेपालमा जनसङ्‌ख्या वितरण
8SS09.08	विश्‍वमा जनसङ्‌ख्याको आकार र वृद्धि
8SS10.00	जनसङ्ख्या वृद्धि र व्यवस्थापन
8SS10.01	जनसङ्‌ख्या र गूणस्तरीय जीवन
8SS10.02	जनसङ्‌ख्या व्यवस्थापन गर्ने उपायहरू
8SS10.03	नेपालमा जनसङ्‌ख्या व्यवस्थापनका समस्याहरू
8SS10.04	अन्तर्राष्‍ट्रिय सङ्‌घ संस्थाहरूको भुमिका
6SSa01.02	असल चरित्र निर्माण गरौ
6SSa02.00	मानवीय मूल्य मान्यता
6SSa02.01	मानव मूल्य
6SSa02.02	पारिवारिक मूल्य
6SSa02.04	मानव र जीवजन्तु
6SSa03.02	हाम्रो साझा सम्पत्ति
6SSa04.00	सामूहिक जीवन पद्
6SSa04.01	सामूहिक जीवन
6SSa04.02	अरूको सम्मान
6SSa05.00	अनुशासन तथा सकारात्मक सोच
6SSa05.01	अनुशासित जीवन
7SSa01.01	देवीरामले देखाएको बाटो
7SSa01.02	धर्मको साझा सार
7SSa02.00	मानवीय मूल्य मान्यता
7SSa05.00	अनुशासन तथा सकारात्मक चिन्तन
7SSa05.01	म असल बन्
7SSa05.02	अनुशासनका फाइदा
7SSa05.03	काम अनुसारको फल
8SSa01.01	गाउँको सान आइतमान
8SSa01.02	असल उदाहरण बनौँ
8SSa02.00	मानवीय मूल्य मान्यता
8SSa04.00	सामूहिक जीवन पद्
8SSa04.02	मेरो वास्तविक पहिचान
8SSa04.03	पाँच भाइको कथा
8SSa05.00	अनुशासन तथा सकारात्मक चिन्तन
8SSa05.02	भित्री आखाँ
